473385600,-8,16,14
473385600,-16,29,29
473385600,-23,41,44
473385600,-33,55,58
473385600,-34,55,57
473385601,-32,57,57
473385601,-30,58,54
473385601,-27,57,52
473385601,-26,55,51
473385601,-23,54,48
473385660,0,40,50
473385660,24,26,52
473385660,49,11,54
473385660,70,-4,56
473385660,70,-3,55
473385661,69,-2,54
473385661,69,-3,54
473385661,70,-2,54
473385661,71,-2,55
473385661,73,-2,55
473385720,74,1,55
473385720,71,0,55
473385720,69,0,55
473385720,69,1,57
473385720,69,0,57
473385721,71,-2,56
473385721,72,-2,56
473385721,72,-3,55
473385721,72,-3,56
473385721,72,0,58
473385780,73,0,59
473385780,73,-1,58
473385780,71,-1,57
473385780,70,-2,55
473385780,69,-2,55
473385781,69,-1,56
473385781,69,-1,55
473385781,70,-2,56
473385781,68,-3,55
473385781,68,-4,54
473385840,70,-3,55
473385840,69,0,55
473385840,70,1,56
473385840,70,1,56
473385840,69,-2,56
473385841,70,-4,56
473385841,72,-4,56
473385841,72,-4,58
473385841,73,-1,59
473385841,72,0,58
473385900,71,-1,57
473385900,71,0,56
473385900,70,-2,54
473385900,70,-4,54
473385900,70,-4,54
473385901,70,-4,55
473385901,71,-4,57
473385901,71,-1,60
473385901,70,-1,60
473385901,70,-1,60
473385960,57,-11,46
473385960,38,-32,27
473385960,28,-54,10
473385960,12,-72,-1
473385960,6,-78,4
473385961,9,-83,8
473385961,2,-83,15
473385961,1,-86,13
473385961,11,-84,6
473385961,13,-82,6
473386020,14,-81,3
473386020,14,-81,3
473386020,8,-87,7
473386020,9,-85,7
473386020,10,-84,7
473386021,12,-83,6
473386021,12,-82,5
473386021,9,-83,6
473386021,10,-84,5
473386021,11,-86,4
473386080,-13,-66,10
473386080,-34,-44,16
473386080,-56,-22,25
473386080,-80,-1,33
473386080,-79,-1,34
473386081,-78,-1,34
473386081,-79,-1,32
473386081,-79,-1,32
473386081,-80,-3,31
473386081,-81,-3,31
473386140,-81,-4,32
473386140,-79,-2,33
473386140,-77,-1,34
473386140,-78,-2,34
473386140,-79,-2,34
473386141,-79,-3,33
473386141,-79,-2,34
473386141,-79,-2,34
473386141,-79,-1,34
473386141,-81,0,34
473386200,-83,0,32
473386200,-82,1,32
473386200,-82,0,33
473386200,-83,-2,33
473386200,-82,-2,32
473386201,-81,-2,33
473386201,-80,-1,33
473386201,-79,0,33
473386201,-79,-1,33
473386201,-80,-1,33
473386260,-81,-2,33
473386260,-82,-3,33
473386260,-83,-3,34
473386260,-82,-3,33
473386260,-79,-1,32
473386261,-77,0,32
473386261,-75,-1,32
473386261,-75,-1,33
473386261,-78,-3,32
473386261,-80,-3,33
473386320,-82,-2,33
473386320,-83,-5,32
473386320,-81,-5,33
473386320,-79,-4,32
473386320,-78,-3,31
473386321,-79,0,33
473386321,-79,2,34
473386321,-80,2,33
473386321,-80,1,35
473386321,-79,1,34
473386380,-80,0,34
473386380,-80,-1,36
473386380,-79,0,37
473386380,-79,0,36
473386380,-79,-1,35
473386381,-79,-1,35
473386381,-80,-1,34
473386381,-79,-2,34
473386381,-78,-2,34
473386381,-79,-2,34
473386440,-78,-6,34
473386440,-80,-6,37
473386440,-79,-4,42
473386440,-78,-2,45
473386440,-76,3,45
473386441,-75,7,42
473386441,-76,11,38
473386441,-74,13,36
473386441,-75,17,38
473386441,-73,17,40
473386500,-74,12,25
473386500,-75,9,9
473386500,-77,4,-6
473386500,-79,2,-20
473386500,-79,3,-18
473386501,-80,3,-17
473386501,-79,3,-18
473386501,-79,3,-17
473386501,-78,2,-17
473386501,-78,1,-18
473386560,-78,2,-19
473386560,-77,2,-20
473386560,-78,2,-20
473386560,-77,3,-19
473386560,-77,2,-18
