Time,Xacc,Yacc,Zacc
2019-05-28 00:00:00,2,80,4
2019-05-28 00:00:00,2,80,4
2019-05-28 00:00:00,2,81,4
2019-05-28 00:00:00,3,81,4
2019-05-28 00:00:00,6,82,4
2019-05-28 00:00:01,5,83,5
2019-05-28 00:00:01,7,82,6
2019-05-28 00:00:01,4,81,5
2019-05-28 00:00:01,1,79,6
2019-05-28 00:00:01,2,78,5
2019-05-28 00:01:00,1,78,4
2019-05-28 00:01:00,2,78,3
2019-05-28 00:01:00,1,80,1
2019-05-28 00:01:00,0,81,1
2019-05-28 00:01:00,1,81,2
2019-05-28 00:01:01,2,80,2
2019-05-28 00:01:01,5,78,3
2019-05-28 00:01:01,5,79,3
2019-05-28 00:01:01,4,80,2
2019-05-28 00:01:01,4,81,2
2019-05-28 00:02:00,3,81,1
2019-05-28 00:02:00,4,80,0
2019-05-28 00:02:00,3,80,1
2019-05-28 00:02:00,4,81,2
2019-05-28 00:02:00,4,82,2
2019-05-28 00:02:01,4,82,2
2019-05-28 00:02:01,4,82,2
2019-05-28 00:02:01,3,82,2
2019-05-28 00:02:01,3,83,3
2019-05-28 00:02:01,3,83,2
2019-05-28 00:03:00,4,81,1
2019-05-28 00:03:00,4,81,1
2019-05-28 00:03:00,3,81,1
2019-05-28 00:03:00,3,81,3
2019-05-28 00:03:00,1,82,4
2019-05-28 00:03:01,0,82,5
2019-05-28 00:03:01,-1,81,5
2019-05-28 00:03:01,-2,81,5
2019-05-28 00:03:01,1,81,4
2019-05-28 00:03:01,1,79,3
2019-05-28 00:04:00,2,79,3
2019-05-28 00:04:00,2,78,3
2019-05-28 00:04:00,1,78,4
2019-05-28 00:04:00,-1,78,5
2019-05-28 00:04:00,0,78,3
2019-05-28 00:04:01,-1,78,3
2019-05-28 00:04:01,-1,78,3
2019-05-28 00:04:01,1,78,1
2019-05-28 00:04:01,1,77,2
2019-05-28 00:04:01,3,78,2
2019-05-28 00:05:00,1,76,1
2019-05-28 00:05:00,2,78,1
2019-05-28 00:05:00,2,79,1
2019-05-28 00:05:00,1,79,0
2019-05-28 00:05:00,2,80,1
2019-05-28 00:05:01,0,80,2
2019-05-28 00:05:01,0,82,3
2019-05-28 00:05:01,1,81,3
2019-05-28 00:05:01,2,82,3
2019-05-28 00:05:01,3,80,2
2019-05-28 00:06:00,3,78,1
2019-05-28 00:06:00,2,80,4
2019-05-28 00:06:00,3,80,4
2019-05-28 00:06:00,4,81,4
2019-05-28 00:06:00,3,81,4
2019-05-28 00:06:01,3,80,1
2019-05-28 00:06:01,2,79,0
2019-05-28 00:06:01,1,78,1
2019-05-28 00:06:01,1,78,3
2019-05-28 00:06:01,2,79,4
2019-05-28 00:07:00,2,80,4
2019-05-28 00:07:00,3,81,3
2019-05-28 00:07:00,5,81,1
2019-05-28 00:07:00,6,79,1
2019-05-28 00:07:00,5,79,1
2019-05-28 00:07:01,4,79,1
2019-05-28 00:07:01,4,79,2
2019-05-28 00:07:01,2,80,2
2019-05-28 00:07:01,3,80,3
2019-05-28 00:07:01,4,81,4
2019-05-28 00:08:00,2,80,4
2019-05-28 00:08:00,2,80,4
2019-05-28 00:08:00,3,82,4
2019-05-28 00:08:00,2,81,3
2019-05-28 00:08:00,3,83,4
2019-05-28 00:08:01,4,83,3
2019-05-28 00:08:01,3,81,1
2019-05-28 00:08:01,3,81,1
2019-05-28 00:08:01,2,80,0
2019-05-28 00:08:01,2,81,1
2019-05-28 00:09:00,3,81,2
2019-05-28 00:09:00,5,81,3
2019-05-28 00:09:00,6,81,3
2019-05-28 00:09:00,6,80,3
2019-05-28 00:09:00,5,81,4
2019-05-28 00:09:01,5,80,3
2019-05-28 00:09:01,6,81,2
2019-05-28 00:09:01,7,80,2
2019-05-28 00:09:01,6,79,1
2019-05-28 00:09:01,3,81,1
2019-05-28 00:10:00,2,80,2
2019-05-28 00:10:00,1,82,3
2019-05-28 00:10:00,1,81,4
2019-05-28 00:10:00,3,80,4
2019-05-28 00:10:00,1,80,3
2019-05-28 00:10:01,-1,78,1
2019-05-28 00:10:01,-2,79,1
2019-05-28 00:10:01,-4,79,2
2019-05-28 00:10:01,-3,78,2
2019-05-28 00:10:01,-4,79,4
2019-05-28 00:11:00,-3,79,5
2019-05-28 00:11:00,-1,79,4
2019-05-28 00:11:00,-1,80,5
2019-05-28 00:11:00,-1,79,4
2019-05-28 00:11:00,-1,79,4
2019-05-28 00:11:01,-2,79,3
2019-05-28 00:11:01,-2,79,2
2019-05-28 00:11:01,-1,81,2
2019-05-28 00:11:01,-2,82,1
2019-05-28 00:11:01,-1,82,2
2019-05-28 00:12:00,-2,82,2
2019-05-28 00:12:00,0,82,1
2019-05-28 00:12:00,1,82,1
2019-05-28 00:12:00,1,82,1
2019-05-28 00:12:00,3,82,2
2019-05-28 00:12:01,3,81,4
2019-05-28 00:12:01,4,80,4
2019-05-28 00:12:01,3,81,5
2019-05-28 00:12:01,2,80,5
2019-05-28 00:12:01,1,80,4
2019-05-28 00:13:00,1,79,4
2019-05-28 00:13:00,2,77,3
2019-05-28 00:13:00,3,78,2
2019-05-28 00:13:00,2,78,0
2019-05-28 00:13:00,1,79,1
2019-05-28 00:13:01,1,80,3
2019-05-28 00:13:01,-1,82,3
2019-05-28 00:13:01,-1,82,5
2019-05-28 00:13:01,-1,83,4
2019-05-28 00:13:01,-1,84,4
2019-05-28 00:14:00,0,83,4
2019-05-28 00:14:00,1,84,3
2019-05-28 00:14:00,2,83,3
2019-05-28 00:14:00,0,81,2
2019-05-28 00:14:00,0,81,2
2019-05-28 00:14:01,0,80,3
2019-05-28 00:14:01,-2,80,2
2019-05-28 00:14:01,-1,82,1
2019-05-28 00:14:01,1,81,0
2019-05-28 00:14:01,1,81,-2
2019-05-28 00:15:00,4,80,-1
2019-05-28 00:15:00,4,80,0
2019-05-28 00:15:00,2,80,2
2019-05-28 00:15:00,3,81,5
2019-05-28 00:15:00,1,82,5
2019-05-28 00:15:01,2,82,4
2019-05-28 00:15:01,2,82,3
2019-05-28 00:15:01,2,79,2
2019-05-28 00:15:01,2,79,2
2019-05-28 00:15:01,1,79,2
2019-05-28 00:16:00,1,79,3
2019-05-28 00:16:00,1,80,2
2019-05-28 00:16:00,2,78,1
2019-05-28 00:16:00,3,77,1
2019-05-28 00:16:00,3,77,1
2019-05-28 00:16:01,3,79,1
2019-05-28 00:16:01,3,81,2
2019-05-28 00:16:01,3,81,2
2019-05-28 00:16:01,5,81,2
2019-05-28 00:16:01,6,82,2
2019-05-28 00:17:00,4,81,3
2019-05-28 00:17:00,3,81,2
2019-05-28 00:17:00,1,81,1
2019-05-28 00:17:00,0,79,1
2019-05-28 00:17:00,1,80,0
2019-05-28 00:17:01,0,80,3
2019-05-28 00:17:01,0,80,4
2019-05-28 00:17:01,-1,80,4
2019-05-28 00:17:01,-1,80,3
2019-05-28 00:17:01,0,81,2
2019-05-28 00:18:00,-1,81,1
2019-05-28 00:18:00,-1,81,2
2019-05-28 00:18:00,0,82,3
2019-05-28 00:18:00,1,81,3
2019-05-28 00:18:00,2,80,3
2019-05-28 00:18:01,1,81,2
2019-05-28 00:18:01,-1,80,2
2019-05-28 00:18:01,-1,80,2
2019-05-28 00:18:01,-2,80,3
2019-05-28 00:18:01,0,78,4
2019-05-28 00:19:00,1,79,3
2019-05-28 00:19:00,-1,79,2
2019-05-28 00:19:00,1,81,2
2019-05-28 00:19:00,3,83,1
2019-05-28 00:19:00,5,82,1
2019-05-28 00:19:01,7,82,1
2019-05-28 00:19:01,7,81,1
2019-05-28 00:19:01,6,80,0
2019-05-28 00:19:01,6,79,-1
2019-05-28 00:19:01,6,79,-1
2019-05-28 00:20:00,4,78,-2
2019-05-28 00:20:00,3,78,-2
2019-05-28 00:20:00,1,77,-1
2019-05-28 00:20:00,0,78,-2
2019-05-28 00:20:00,1,80,-3
2019-05-28 00:20:01,0,81,-2
2019-05-28 00:20:01,0,83,-2
2019-05-28 00:20:01,-1,82,-2
2019-05-28 00:20:01,-1,80,-1
2019-05-28 00:20:01,-1,81,0
2019-05-28 00:21:00,-1,82,0
2019-05-28 00:21:00,-1,83,1
2019-05-28 00:21:00,-4,83,0
2019-05-28 00:21:00,-5,81,-1
2019-05-28 00:21:00,-7,80,-1
2019-05-28 00:21:01,-8,78,-2
2019-05-28 00:21:01,-5,79,-1
2019-05-28 00:21:01,-2,78,-1
2019-05-28 00:21:01,1,79,-1
2019-05-28 00:21:01,2,80,1
2019-05-28 00:22:00,2,80,1
2019-05-28 00:22:00,1,80,0
2019-05-28 00:22:00,1,79,-2
2019-05-28 00:22:00,3,79,-3
2019-05-28 00:22:00,5,79,-4
2019-05-28 00:22:01,4,80,-3
2019-05-28 00:22:01,5,81,-2
2019-05-28 00:22:01,4,81,-4
2019-05-28 00:22:01,2,81,-4
