Time,Xacc,Yacc,Zacc
2018-07-19 17:28:52,16,-92,16
2018-07-19 17:28:52,16,-92,16
2018-07-19 17:28:52,16,-92,16
2018-07-19 17:28:52,16,-92,16
2018-07-19 17:28:52,16,-92,16
2018-07-19 17:28:52,12,-91,12
2018-07-19 17:28:52,8,-90,8
2018-07-19 17:28:52,4,-89,4
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,0,-88,0
2018-07-19 17:28:52,1,-87,-3
2018-07-19 17:28:52,2,-86,-6
2018-07-19 17:28:52,3,-85,-9
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,4,-84,-12
2018-07-19 17:28:52,3,-84,-11
2018-07-19 17:28:52,2,-84,-10
2018-07-19 17:28:52,1,-84,-9
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,0,-84,-8
2018-07-19 17:28:52,-3,-84,-9
2018-07-19 17:28:52,-6,-84,-10
2018-07-19 17:28:52,-9,-84,-11
2018-07-19 17:28:52,-12,-84,-12
2018-07-19 17:28:52,-12,-84,-12
2018-07-19 17:28:52,-12,-84,-12
2018-07-19 17:28:52,-12,-84,-12
2018-07-19 17:29:07,-24,-65,3
2018-07-19 17:29:07,-36,-46,18
2018-07-19 17:29:07,-48,-26,33
2018-07-19 17:29:07,-60,-6,48
2018-07-19 17:29:07,-60,-5,48
2018-07-19 17:29:07,-60,-4,48
2018-07-19 17:29:07,-60,-4,48
2018-07-19 17:29:07,-60,-4,48
2018-07-19 17:29:07,-60,-4,48
2018-07-19 17:29:07,-60,-4,48
