Time,Xacc,Yacc,Zacc
2018-08-01 18:28:31,1,-8,21
2018-08-01 18:28:31,1,-16,41
2018-08-01 18:28:31,2,-25,62
2018-08-01 18:28:31,4,-33,82
2018-08-01 18:28:31,3,-32,83
2018-08-01 18:28:31,4,-32,84
2018-08-01 18:28:31,4,-30,84
2018-08-01 18:28:31,3,-30,84
2018-08-01 18:28:32,4,-33,82
2018-08-01 18:28:32,3,-33,82
2018-08-01 18:28:32,2,-35,83
2018-08-01 18:28:32,3,-35,83
2018-08-01 18:28:33,3,-34,85
2018-08-01 18:28:33,5,-34,85
2018-08-01 18:28:33,6,-33,84
2018-08-01 18:28:33,5,-33,86
2018-08-01 18:28:33,6,-32,85
2018-08-01 18:28:33,4,-32,85
2018-08-01 18:28:33,4,-34,86
2018-08-01 18:28:33,3,-35,85
2018-08-01 18:28:34,-25,-32,76
2018-08-01 18:28:34,-45,-22,77
2018-08-01 18:28:34,-62,-9,66
2018-08-01 18:28:34,-79,1,53
2018-08-01 18:28:34,-70,11,51
2018-08-01 18:28:34,-68,14,41
2018-08-01 18:28:34,-74,16,42
2018-08-01 18:28:35,-72,22,49
2018-08-01 18:28:35,-63,18,55
2018-08-01 18:28:35,-59,21,67
2018-08-01 18:28:35,-27,10,73
2018-08-01 18:28:36,14,-4,72
2018-08-01 18:28:36,34,-10,70
2018-08-01 18:28:36,65,-25,60
2018-08-01 18:28:36,73,-24,54
2018-08-01 18:28:36,65,-24,54
2018-08-01 18:28:36,70,-25,53
2018-08-01 18:28:36,71,-24,54
2018-08-01 18:28:36,67,-23,59
2018-08-01 18:28:36,59,-21,65
2018-08-01 18:28:37,45,-22,73
2018-08-01 18:28:37,29,-24,79
2018-08-01 18:28:37,18,-28,83
2018-08-01 18:28:37,10,-30,85
2018-08-01 18:28:37,9,-32,85
2018-08-01 18:28:37,10,-30,86
2018-08-01 18:28:38,10,-29,87
2018-08-01 18:28:38,9,-29,85
2018-08-01 18:28:38,10,-27,85
2018-08-01 18:28:38,10,-28,84
2018-08-01 18:28:39,10,-29,83
2018-08-01 18:28:39,11,-29,84
2018-08-01 18:28:39,9,-29,84
2018-08-01 18:28:39,9,-30,85
2018-08-01 18:28:39,7,-28,85
2018-08-01 18:28:39,7,-29,85
2018-08-01 18:28:39,8,-30,85
2018-08-01 18:28:39,7,-29,85
2018-08-01 18:28:39,8,-31,85
2018-08-01 18:28:39,8,-31,86
2018-08-01 18:28:40,8,-32,86
2018-08-01 18:28:40,9,-33,86
2018-08-01 18:28:40,9,-31,87
2018-08-01 18:28:40,9,-31,87
2018-08-01 18:28:40,11,-29,87
2018-08-01 18:28:41,9,-30,87
2018-08-01 18:28:41,8,-30,86
2018-08-01 18:28:41,8,-28,85
2018-08-01 18:28:41,7,-29,85
2018-08-01 18:28:41,10,-26,84
