Time,Xacc,Yacc,Zacc
2018-12-24 11:59:02,-3,-14,15
2018-12-24 11:59:02,-7,-27,30
2018-12-24 11:59:02,-12,-39,46
2018-12-24 11:59:02,-16,-53,64
2018-12-24 11:59:02,-13,-51,67
2018-12-24 11:59:02,-10,-46,73
2018-12-24 11:59:02,-8,-41,81
2018-12-24 11:59:02,-6,-31,88
2018-12-24 11:59:02,-11,-20,91
2018-12-24 11:59:02,-19,-5,91
2018-12-24 11:59:03,-27,8,88
2018-12-24 11:59:03,-34,21,81
2018-12-24 11:59:03,-31,34,78
2018-12-24 11:59:03,-18,39,80
2018-12-24 11:59:03,-6,45,77
2018-12-24 11:59:03,3,46,78
2018-12-24 11:59:03,3,40,78
2018-12-24 11:59:03,-8,35,75
2018-12-24 11:59:03,-15,30,79
2018-12-24 11:59:03,-14,16,78
2018-12-24 11:59:31,-7,-11,66
2018-12-24 11:59:32,3,-38,53
2018-12-24 11:59:32,12,-66,37
2018-12-24 11:59:32,13,-83,25
2018-12-24 11:59:32,10,-83,25
2018-12-24 11:59:32,10,-82,23
2018-12-24 11:59:32,7,-81,17
2018-12-24 11:59:32,4,-79,19
2018-12-24 11:59:32,-1,-74,20
2018-12-24 11:59:32,-10,-75,22
2018-12-24 11:59:32,-11,-76,31
2018-12-24 11:59:33,-13,-77,29
2018-12-24 11:59:33,-3,-70,21
2018-12-24 11:59:33,8,-58,14
2018-12-24 11:59:33,10,-53,8
2018-12-24 11:59:33,10,-56,8
2018-12-24 11:59:33,2,-68,16
2018-12-24 11:59:33,-4,-79,20
2018-12-24 11:59:33,-5,-84,23
2018-12-24 11:59:33,3,-83,18
2018-12-24 12:00:01,4,-83,9
2018-12-24 12:00:02,6,-85,3
2018-12-24 12:00:02,7,-86,-1
2018-12-24 12:00:02,5,-86,-3
2018-12-24 12:00:02,9,-87,2
2018-12-24 12:00:02,8,-89,3
2018-12-24 12:00:02,8,-89,3
2018-12-24 12:00:02,5,-90,4
2018-12-24 12:00:02,2,-89,2
2018-12-24 12:00:02,2,-89,4
2018-12-24 12:00:02,4,-90,3
2018-12-24 12:00:03,6,-88,4
2018-12-24 12:00:03,5,-89,7
2018-12-24 12:00:03,9,-90,0
2018-12-24 12:00:03,7,-88,-5
2018-12-24 12:00:03,6,-88,-11
2018-12-24 12:00:03,6,-87,-18
2018-12-24 12:00:03,2,-84,-14
2018-12-24 12:00:03,1,-84,-12
2018-12-24 12:00:03,1,-84,-9
2018-12-24 12:00:31,4,-84,-7
2018-12-24 12:00:32,5,-85,-6
2018-12-24 12:00:32,6,-84,-3
2018-12-24 12:00:32,7,-85,-4
2018-12-24 12:00:32,4,-85,-5
2018-12-24 12:00:32,2,-83,-5
2018-12-24 12:00:32,2,-83,-8
2018-12-24 12:00:32,0,-83,-6
2018-12-24 12:00:32,2,-84,-3
2018-12-24 12:00:32,5,-85,-4
2018-12-24 12:00:32,3,-88,-2
2018-12-24 12:00:33,4,-87,-1
2018-12-24 12:00:33,3,-87,-4
2018-12-24 12:00:33,4,-88,-4
2018-12-24 12:00:33,7,-88,-5
2018-12-24 12:00:33,8,-88,-6
2018-12-24 12:00:33,9,-87,-6
2018-12-24 12:00:33,7,-87,-6
2018-12-24 12:00:33,7,-85,-7
2018-12-24 12:00:33,6,-84,-7
2018-12-24 12:01:01,-14,-64,-12
2018-12-24 12:01:02,-34,-43,-18
2018-12-24 12:01:02,-54,-23,-23
2018-12-24 12:01:02,-75,-5,-29
2018-12-24 12:01:02,-77,-5,-29
2018-12-24 12:01:02,-77,-5,-28
2018-12-24 12:01:02,-78,-3,-27
2018-12-24 12:01:02,-77,-2,-27
2018-12-24 12:01:02,-77,-1,-28
2018-12-24 12:01:02,-77,-1,-28
2018-12-24 12:01:02,-76,-3,-30
2018-12-24 12:01:03,-76,-2,-31
2018-12-24 12:01:03,-75,-3,-31
2018-12-24 12:01:03,-77,-3,-32
2018-12-24 12:01:03,-78,-2,-31
2018-12-24 12:01:03,-79,-2,-30
2018-12-24 12:01:03,-80,-1,-29
2018-12-24 12:01:03,-79,-2,-29
2018-12-24 12:01:03,-80,-3,-30
2018-12-24 12:01:03,-79,-4,-31
2018-12-24 12:01:31,-79,-6,-31
2018-12-24 12:01:32,-79,-5,-30
2018-12-24 12:01:32,-79,-5,-30
2018-12-24 12:01:32,-80,-5,-30
2018-12-24 12:01:32,-78,-5,-31
2018-12-24 12:01:32,-77,-5,-31
2018-12-24 12:01:32,-77,-4,-30
2018-12-24 12:01:32,-77,-5,-29
2018-12-24 12:01:32,-78,-4,-27
2018-12-24 12:01:32,-78,-4,-27
2018-12-24 12:01:33,-77,-4,-27
2018-12-24 12:01:33,-76,-2,-27
2018-12-24 12:01:33,-76,-1,-28
2018-12-24 12:01:33,-76,-2,-28
2018-12-24 12:01:33,-76,-3,-28
2018-12-24 12:01:33,-77,-5,-28
2018-12-24 12:01:33,-77,-6,-28
2018-12-24 12:01:33,-77,-5,-28
2018-12-24 12:01:33,-77,-6,-29
2018-12-24 12:01:33,-76,-5,-29
2018-12-24 12:02:01,-76,-4,-30
2018-12-24 12:02:02,-76,-5,-31
2018-12-24 12:02:02,-77,-4,-31
2018-12-24 12:02:02,-79,-3,-32
2018-12-24 12:02:02,-79,-4,-31
2018-12-24 12:02:02,-80,-3,-31
2018-12-24 12:02:02,-80,-3,-29
2018-12-24 12:02:02,-79,-4,-27
2018-12-24 12:02:02,-79,-4,-27
2018-12-24 12:02:02,-78,-4,-26
2018-12-24 12:02:03,-77,-4,-26
2018-12-24 12:02:03,-77,-4,-28
2018-12-24 12:02:03,-78,-4,-28
2018-12-24 12:02:03,-79,-4,-28
2018-12-24 12:02:03,-80,-4,-29
2018-12-24 12:02:03,-79,-4,-28
2018-12-24 12:02:03,-79,-3,-28
2018-12-24 12:02:03,-79,-3,-28
2018-12-24 12:02:03,-78,-2,-28
2018-12-24 12:02:03,-79,-2,-29
2018-12-24 12:02:31,-80,-2,-29
