Time,Xacc,Yacc,Zacc
2018-12-17 00:00:25,2,84,3
2018-12-17 00:00:25,1,84,4
2018-12-17 00:00:25,1,83,3
2018-12-17 00:00:25,1,83,2
2018-12-17 00:00:26,0,82,2
2018-12-17 00:00:26,0,82,2
2018-12-17 00:00:26,0,83,2
2018-12-17 00:00:26,-1,84,3
2018-12-17 00:00:26,-1,84,2
2018-12-17 00:00:26,-2,84,1
2018-12-17 00:00:26,-2,84,2
2018-12-17 00:00:26,-2,84,2
2018-12-17 00:00:26,-1,83,2
2018-12-17 00:00:27,0,83,3
2018-12-17 00:00:27,0,82,2
2018-12-17 00:00:27,1,82,1
2018-12-17 00:00:27,-1,82,0
2018-12-17 00:00:27,-1,81,0
2018-12-17 00:00:27,0,82,0
2018-12-17 00:00:27,1,82,0
2018-12-17 00:00:55,2,81,1
2018-12-17 00:00:55,2,81,0
2018-12-17 00:00:55,1,80,0
2018-12-17 00:00:55,1,79,1
2018-12-17 00:00:56,1,80,2
2018-12-17 00:00:56,1,80,2
2018-12-17 00:00:56,0,81,3
2018-12-17 00:00:56,0,82,2
2018-12-17 00:00:56,0,82,1
2018-12-17 00:00:56,0,83,2
2018-12-17 00:00:56,2,82,2
2018-12-17 00:00:56,2,82,2
2018-12-17 00:00:56,3,80,2
2018-12-17 00:00:56,3,80,1
2018-12-17 00:00:57,1,80,-1
2018-12-17 00:00:57,0,81,-1
2018-12-17 00:00:57,-1,85,-1
2018-12-17 00:00:57,0,84,-1
2018-12-17 00:00:57,2,85,-1
2018-12-17 00:00:57,2,84,0
2018-12-17 00:01:25,3,83,0
2018-12-17 00:01:25,2,83,0
2018-12-17 00:01:25,2,83,1
2018-12-17 00:01:25,3,82,0
2018-12-17 00:01:26,2,82,0
2018-12-17 00:01:26,2,83,1
2018-12-17 00:01:26,2,83,2
2018-12-17 00:01:26,0,82,3
2018-12-17 00:01:26,0,82,4
2018-12-17 00:01:26,0,82,4
2018-12-17 00:01:26,1,82,3
2018-12-17 00:01:26,1,83,2
2018-12-17 00:01:26,1,84,1
2018-12-17 00:01:26,0,85,0
2018-12-17 00:01:27,-2,84,1
2018-12-17 00:01:27,0,84,1
2018-12-17 00:01:27,0,83,2
2018-12-17 00:01:27,2,83,1
2018-12-17 00:01:27,2,83,2
2018-12-17 00:01:27,2,83,2
2018-12-17 00:01:55,2,83,1
2018-12-17 00:01:55,1,81,2
2018-12-17 00:01:55,2,81,1
